Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
91857036,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91857276,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,7A,CC,
91857536,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91857795,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
91953157,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
91953424,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
91953672,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
91953941,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
91954201,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
91954451,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
91954709,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
91954959,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
91955216,00000596,false,Rx,0,8,90,80,00,00,5B,00,17,18,
91955476,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
91955736,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
91955995,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
91956264,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
91956525,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
91956773,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
91957032,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
91957282,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,83,31,
91957543,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
91957791,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
92053163,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
92053430,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
92053678,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
92053948,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
92054207,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
92054457,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
92054717,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
92054965,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
92055222,00000596,false,Rx,0,8,95,80,00,00,5B,00,17,18,
92055483,00000597,false,Rx,0,8,81,E6,00,00,00,00,00,00,
92055742,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
92056001,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
92056271,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
92056531,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
92056779,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
92057039,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
92057288,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,83,31,
92057548,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
92057798,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
92153162,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
92153429,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
92153688,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
92153947,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
92154206,000004DE,false,Rx,0,8,00,7F,7F,0A,7F,C4,1E,00,
92154457,000004E2,false,Rx,0,8,3E,03,CA,03,00,00,C1,9E,
92154715,00000542,false,Rx,0,8,41,18,00,A0,00,00,FF,FF,
92154974,00000595,false,Rx,0,8,1E,00,B4,B5,00,00,74,0C,
92155233,00000596,false,Rx,0,8,97,80,00,00,5B,00,17,18,
92155482,00000597,false,Rx,0,8,01,E6,00,00,00,00,00,00,
92155741,00000598,false,Rx,0,8,00,00,00,00,30,13,7F,7F,
92156011,00000599,false,Rx,0,8,08,00,00,00,00,00,00,00,
92156270,0000059C,false,Rx,0,8,00,00,00,00,00,00,00,00,
92156540,0000059E,false,Rx,0,8,00,00,00,00,74,0C,00,00,
92156789,000005A3,false,Rx,0,8,0F,00,00,00,9D,39,9D,39,
92157038,000005D5,false,Rx,0,8,00,00,00,A4,C8,C8,00,0A,
92157287,000005D6,false,Rx,0,8,B4,B5,00,00,17,18,95,CC,
92157548,000005D7,false,Rx,0,8,02,00,00,00,00,00,00,00,
92157797,000005D8,false,Rx,0,8,80,41,0A,00,E6,00,74,0C,
92253167,00000594,false,Rx,0,8,50,14,24,13,A0,45,23,20,
92253433,00000491,false,Rx,0,8,5B,00,00,00,00,00,00,0A,
92253683,00000493,false,Rx,0,8,00,0C,00,55,00,00,54,06,
92253952,000004DD,false,Rx,0,8,00,00,00,00,00,00,01,00,
